Quand commence le Moyen Âge ?;476;1492;800;1789
 Qui a inventé l’écriture cunéiforme ?;Les Sumériens;Les Grecs;Les Romains;Les Vikings
Quel personnage célèbre a traversé les Alpes avec des éléphants ?;Hannibal;Jules César;Alexandre le Grand;Napoléon
 En quelle année a commencé la Révolution française ?;1789;1515;1914;1848
Quel est le fondateur légendaire de Rome ?;Romulus;Auguste;Trajan;Jupiter
Où les premiers humains sont-ils apparus ?;En Afrique;En Asie;En Europe;En Océanie
À quelle époque appartient la pierre taillée ?;La Préhistoire;Le Moyen Âge;L’Antiquité;Les Temps modernes
 Qui a été le premier empereur romain ?;Auguste;Néron;Constantin;César
Quel événement marque la fin de la Seconde Guerre mondiale en Europe ?;La capitulation de l’Allemagne nazie; La chute du mur de Berlin;Le débarquement de Normandie;Pearl Harbor
Quel roi a été exécuté pendant la Révolution française ?;Louis XVI;Louis XIV;François Ier;Napoléon Ier
Quel peuple a construit les pyramides de Gizeh ?;Les Égyptiens; Les Perses; Les Mayas;Les Grecs
Qui a découvert l’Amérique en  ?;Christophe Colomb;Marco Polo;Magellan;Cook
Quel est le nom du réseau de routes construit par les Romains ?;Les voies romaine;Les chemins royaux;Les pistes helléniques;Les routes carolingiennes
Qui était Jeanne d’Arc ?;Une jeune chef militaire française pendant la guerre de Cent Ans;La femme de Charles VII;Une reine d’Angleterre;Une exploratrice
Quel traité met fin à la Première Guerre mondiale ?;Le traité de Versailles (1919);Le traité de Paris;Le traité de Vienne;Le traité de Rome
Sous quel roi la monarchie absolue atteint-elle son apogée en France ?;Louis XIV; Louis XV;Henri IV;Phulippe Auguste
Quel est l’événement déclencheur de la Première Guerre mondiale ?;L’assassinat de l’archiduc François-Ferdinand;La crise de Cuba;La chute du mur de Berlin;La révolution russe
Quelle civilisation a inventé la démocratie ?;Les Grecs (Athènes);Les Romains;Les Perses;Les Egyptien
Quel empire a été dirigé par Charlemagne ?;L’Empire carolingien;L’Empire romain d’Occident;L’Empire byzantin;L’Empire ottoman
 Quelle était la capitale de l’Empire byzantin ?;Constantinople; Rome;Alexandrie;Antioche
